sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00593	GenomeGuard	52.327	476.9	20	22
HG00594	GenomeGuard	48.583	477.3	20	22
HG00595	GenomeGuard	51.318	476.0	20	22
HG00596	GenomeGuard	51.194	477.7	20	22
HG00597	GenomeGuard	74.0	477.4	20	22
HG00598	GenomeGuard	64.573	476.5	20	22
HG00599	GenomeGuard	68.95	477.0	20	22
HG00607	GenomeGuard	50.394	476.2	20	22
HG00608	GenomeGuard	63.148	476.8	20	22
HG00609	GenomeGuard	54.86	476.1	20	22
HG00610	GenomeGuard	51.756	477.1	20	22
HG00611	GenomeGuard	52.194	477.5	20	22
HG00612	GenomeGuard	51.237	476.7	20	22
HG00613	GenomeGuard	50.107	477.0	20	22
HG00614	GenomeGuard	49.863	477.7	20	22
HG00615	GenomeGuard	50.785	476.7	20	22
HG00619	GenomeGuard	52.879	477.0	20	22
HG00620	GenomeGuard	58.55	475.9	20	22
HG00621	GenomeGuard	64.978	475.6	20	22
HG00622	GenomeGuard	71.644	476.1	20	22
HG00623	GenomeGuard	74.652	476.0	20	22
HG00625	GenomeGuard	69.7	475.8	20	22
HG00626	GenomeGuard	60.628	476.7	20	22
HG00627	GenomeGuard	53.145	476.8	20	22
HG00628	GenomeGuard	55.956	477.5	20	22
HG00629	GenomeGuard	65.911	476.9	20	22
HG00630	GenomeGuard	61.695	477.1	20	22
HG00631	GenomeGuard	55.508	477.0	20	22
HG00632	GenomeGuard	60.991	477.8	20	22
HG00634	GenomeGuard	55.774	476.3	20	22
HG00635	GenomeGuard	48.313	476.8	20	22
HG00636	GenomeGuard	45.718	476.5	20	22
HG00637	GenomeGuard	46.434	478.0	20	22
HG00638	GenomeGuard	59.943	476.4	20	22
HG00639	GenomeGuard	66.93	475.6	20	22
HG00640	GenomeGuard	67.066	476.7	20	22
HG00641	GenomeGuard	68.02	476.7	20	22
HG00642	GenomeGuard	67.118	477.1	20	22
HG00650	GenomeGuard	55.662	477.9	20	22
HG00651	GenomeGuard	58.04	476.2	20	22
HG00652	GenomeGuard	61.341	476.6	20	22
HG00653	GenomeGuard	72.815	475.9	20	22
HG00654	GenomeGuard	70.162	476.9	20	22
HG00655	GenomeGuard	59.557	476.1	20	22
HG00656	GenomeGuard	50.617	476.1	20	22
HG00657	GenomeGuard	67.066	477.6	20	22
HG00658	GenomeGuard	70.147	476.7	20	22
HG00662	GenomeGuard	67.383	476.2	20	22
HG00663	GenomeGuard	67.753	476.0	20	22
