sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00707	Aldy	0.8	0	0	0
HG00708	Aldy	1.0	0	0	0
HG00709	Aldy	0.6	0	0	0
HG00717	Aldy	1.0	0	0	0
HG00728	Aldy	0.8	0	0	0
HG00729	Aldy	1.1	0	0	0
HG00731	Aldy	0.9	0	0	0
HG00732	Aldy	0.9	0	0	0
HG00733	Aldy	1.0	0	0	0
HG00734	Aldy	0.9	0	0	0
HG00735	Aldy	0.9	0	0	0
HG00736	Aldy	0.8	0	0	0
HG00737	Aldy	0.9	0	0	0
HG00738	Aldy	0.8	0	0	0
HG00739	Aldy	0.9	0	0	0
HG00740	Aldy	0.8	0	0	0
HG00741	Aldy	0.9	0	0	0
HG00742	Aldy	0.8	0	0	0
HG00743	Aldy	0.6	0	0	0
HG00759	Aldy	0.8	0	0	0
HG00766	Aldy	2.7	0	0	0
HG00844	Aldy	0.5	0	0	0
HG00851	Aldy	0.5	0	0	0
HG00864	Aldy	0.8	0	0	0
HG00867	Aldy	0.7	0	0	0
HG00879	Aldy	0.6	0	0	0
HG00881	Aldy	0.7	0	0	0
HG00956	Aldy	0.8	0	0	0
HG00978	Aldy	0.7	0	0	0
HG00982	Aldy	0.8	0	0	0
HG01028	Aldy	1.0	0	0	0
HG01029	Aldy	0.8	0	0	0
HG01031	Aldy	0.8	0	0	0
HG01046	Aldy	0.8	0	0	0
HG01047	Aldy	0.8	0	0	0
HG01048	Aldy	0.8	0	0	0
HG01049	Aldy	0.8	0	0	0
HG01050	Aldy	0.8	0	0	0
HG01051	Aldy	0.8	0	0	0
HG01052	Aldy	1.1	0	0	0
HG01053	Aldy	0.7	0	0	0
HG01054	Aldy	0.9	0	0	0
HG01055	Aldy	0.8	0	0	0
HG01056	Aldy	0.7	0	0	0
HG01058	Aldy	0.8	0	0	0
HG01060	Aldy	1.0	0	0	0
HG01061	Aldy	1.0	0	0	0
HG01062	Aldy	0.8	0	0	0
HG01063	Aldy	0.9	0	0	0
HG01064	Aldy	0.9	0	0	0
HG01066	Aldy	1.0	0	0	0
HG01067	Aldy	0.9	0	0	0
HG01068	Aldy	0.6	0	0	0
HG01069	Aldy	0.8	0	0	0
HG01070	Aldy	0.8	0	0	0
HG01071	Aldy	0.8	0	0	0
HG01072	Aldy	0.8	0	0	0
HG01073	Aldy	1.0	0	0	0
HG01074	Aldy	0.6	0	0	0
HG01075	Aldy	1.0	0	0	0
HG01077	Aldy	0.9	0	0	0
HG01079	Aldy	0.7	0	0	0
HG01080	Aldy	0.7	0	0	0
HG01081	Aldy	0.8	0	0	0
HG01082	Aldy	1.0	0	0	0
HG01083	Aldy	0.9	0	0	0
HG01084	Aldy	0.8	0	0	0
HG01085	Aldy	0.9	0	0	0
HG01086	Aldy	0.9	0	0	0
HG01087	Aldy	0.8	0	0	0
HG01088	Aldy	0.8	0	0	0
HG01089	Aldy	0.8	0	0	0
HG01092	Aldy	0.8	0	0	0
HG01094	Aldy	0.8	0	0	0
HG01095	Aldy	0.8	0	0	0
HG01096	Aldy	0.8	0	0	0
HG01097	Aldy	0.8	0	0	0
HG01098	Aldy	1.1	0	0	0
HG01099	Aldy	1.0	0	0	0
HG01100	Aldy	0.7	0	0	0
HG01101	Aldy	0.8	0	0	0
HG01102	Aldy	1.1	0	0	0
HG01103	Aldy	1.0	0	0	0
HG01104	Aldy	0.9	0	0	0
HG01105	Aldy	0.9	0	0	0
HG01106	Aldy	0.9	0	0	0
HG01107	Aldy	0.9	0	0	0
HG01108	Aldy	0.9	0	0	0
HG01109	Aldy	0.9	0	0	0
HG01110	Aldy	0.9	0	0	0
HG01111	Aldy	0.8	0	0	0
HG01112	Aldy	1.0	0	0	0
HG01113	Aldy	0.6	0	0	0
HG01114	Aldy	0.9	0	0	0
HG01119	Aldy	0.9	0	0	0
HG01121	Aldy	0.9	0	0	0
HG01122	Aldy	1.0	0	0	0
HG01124	Aldy	0.6	0	0	0
HG01125	Aldy	0.9	0	0	0
HG01126	Aldy	1.0	0	0	0
HG01130	Aldy	0.8	0	0	0
HG01131	Aldy	0.6	0	0	0
HG01133	Aldy	0.7	0	0	0
HG01134	Aldy	0.6	0	0	0
HG01135	Aldy	0.7	0	0	0
HG01136	Aldy	0.8	0	0	0
HG01137	Aldy	0.6	0	0	0
HG01138	Aldy	0.6	0	0	0
HG01139	Aldy	0.6	0	0	0
HG01140	Aldy	0.6	0	0	0
HG01141	Aldy	0.6	0	0	0
HG01142	Aldy	0.8	0	0	0
HG01148	Aldy	0.6	0	0	0
HG01149	Aldy	0.6	0	0	0
HG01150	Aldy	0.6	0	0	0
HG01161	Aldy	0.7	0	0	0
