sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00663	PharmCAT	0.3	0	21	0
HG00664	PharmCAT	0.3	0	21	0
HG00671	PharmCAT	0.3	0	21	0
HG00672	PharmCAT	0.3	0	21	0
HG00673	PharmCAT	0.3	0	21	0
HG00674	PharmCAT	0.3	0	21	0
HG00675	PharmCAT	0.3	0	21	0
HG00683	PharmCAT	0.3	0	21	0
HG00684	PharmCAT	0.3	0	21	0
HG00685	PharmCAT	0.3	0	21	0
HG00689	PharmCAT	0.3	0	21	0
HG00690	PharmCAT	0.2	0	21	0
HG00691	PharmCAT	0.3	0	21	0
HG00692	PharmCAT	0.3	0	21	0
HG00693	PharmCAT	0.3	0	21	0
HG00694	PharmCAT	0.3	0	21	0
HG00698	PharmCAT	0.3	0	21	0
HG00699	PharmCAT	0.3	0	21	0
HG00700	PharmCAT	0.3	0	21	0
HG00701	PharmCAT	0.3	0	21	0
HG00702	PharmCAT	0.3	0	21	0
HG00703	PharmCAT	0.3	0	21	0
HG00704	PharmCAT	0.3	0	21	0
HG00705	PharmCAT	0.3	0	21	0
HG00706	PharmCAT	0.3	0	21	0
HG00707	PharmCAT	0.3	0	21	0
HG00708	PharmCAT	0.2	0	21	0
HG00709	PharmCAT	0.3	0	21	0
HG00717	PharmCAT	0.3	0	21	0
HG00728	PharmCAT	0.3	0	21	0
HG00729	PharmCAT	0.3	0	21	0
HG00731	PharmCAT	0.3	0	21	0
HG00732	PharmCAT	0.3	0	21	0
HG00733	PharmCAT	0.3	0	21	0
HG00734	PharmCAT	0.3	0	21	0
HG00735	PharmCAT	0.2	0	21	0
HG00736	PharmCAT	0.3	0	21	0
HG00737	PharmCAT	0.3	0	21	0
HG00738	PharmCAT	0.3	0	21	0
HG00739	PharmCAT	0.3	0	21	0
HG00740	PharmCAT	0.3	0	21	0
HG00741	PharmCAT	0.3	0	21	0
HG00742	PharmCAT	0.3	0	21	0
HG00743	PharmCAT	0.3	0	21	0
HG00759	PharmCAT	0.3	0	21	0
HG00766	PharmCAT	0.3	0	21	0
HG00844	PharmCAT	0.3	0	21	0
HG00851	PharmCAT	0.3	0	21	0
HG00864	PharmCAT	0.3	0	21	0
HG00867	PharmCAT	0.3	0	21	0
HG00879	PharmCAT	0.3	0	21	0
HG00881	PharmCAT	0.2	0	21	0
HG00956	PharmCAT	0.3	0	21	0
HG00978	PharmCAT	0.3	0	21	0
HG00982	PharmCAT	0.3	0	21	0
HG01028	PharmCAT	0.3	0	21	0
HG01029	PharmCAT	0.3	0	21	0
HG01031	PharmCAT	0.3	0	21	0
HG01046	PharmCAT	0.3	0	21	0
HG01047	PharmCAT	0.3	0	21	0
HG01048	PharmCAT	0.4	0	21	0
HG01049	PharmCAT	0.3	0	21	0
HG01050	PharmCAT	0.3	0	21	0
HG01051	PharmCAT	0.4	0	21	0
HG01052	PharmCAT	0.3	0	21	0
HG01053	PharmCAT	0.3	0	21	0
HG01054	PharmCAT	0.3	0	21	0
HG01055	PharmCAT	0.3	0	21	0
HG01056	PharmCAT	0.3	0	21	0
HG01058	PharmCAT	0.3	0	21	0
HG01060	PharmCAT	0.3	0	21	0
HG01061	PharmCAT	0.3	0	21	0
HG01062	PharmCAT	0.3	0	21	0
HG01063	PharmCAT	0.3	0	21	0
HG01064	PharmCAT	0.3	0	21	0
HG01066	PharmCAT	0.3	0	21	0
HG01067	PharmCAT	0.3	0	21	0
HG01068	PharmCAT	0.3	0	21	0
HG01069	PharmCAT	0.3	0	21	0
HG01070	PharmCAT	0.3	0	21	0
HG01071	PharmCAT	0.3	0	21	0
HG01072	PharmCAT	0.3	0	21	0
HG01073	PharmCAT	0.3	0	21	0
HG01074	PharmCAT	0.3	0	21	0
HG01075	PharmCAT	0.3	0	21	0
HG01077	PharmCAT	0.3	0	21	0
HG01079	PharmCAT	0.3	0	21	0
HG01080	PharmCAT	0.3	0	21	0
HG01081	PharmCAT	0.3	0	21	0
HG01082	PharmCAT	0.3	0	21	0
HG01083	PharmCAT	0.3	0	21	0
HG01084	PharmCAT	0.4	0	21	0
HG01085	PharmCAT	0.3	0	21	0
HG01086	PharmCAT	0.3	0	21	0
HG01087	PharmCAT	0.3	0	21	0
HG01088	PharmCAT	0.3	0	21	0
HG01089	PharmCAT	0.3	0	21	0
HG01092	PharmCAT	0.3	0	21	0
HG01094	PharmCAT	0.3	0	21	0
HG01095	PharmCAT	0.3	0	21	0
HG01096	PharmCAT	0.3	0	21	0
HG01097	PharmCAT	0.3	0	21	0
HG01098	PharmCAT	0.3	0	21	0
HG01099	PharmCAT	0.3	0	21	0
HG01100	PharmCAT	0.3	0	21	0
HG01101	PharmCAT	0.3	0	21	0
HG01102	PharmCAT	0.3	0	21	0
HG01103	PharmCAT	0.5	0	21	0
HG01104	PharmCAT	0.3	0	21	0
HG01105	PharmCAT	0.3	0	21	0
HG01106	PharmCAT	0.3	0	21	0
HG01107	PharmCAT	0.3	0	21	0
HG01108	PharmCAT	0.3	0	21	0
HG01109	PharmCAT	0.3	0	21	0
HG01110	PharmCAT	0.3	0	21	0
HG01111	PharmCAT	0.2	0	21	0
HG01112	PharmCAT	0.3	0	21	0
HG01113	PharmCAT	0.3	0	21	0
HG01114	PharmCAT	0.3	0	21	0
HG01119	PharmCAT	0.3	0	21	0
HG01121	PharmCAT	0.3	0	21	0
HG01122	PharmCAT	0.4	0	21	0
HG01124	PharmCAT	0.4	0	21	0
HG01125	PharmCAT	0.3	0	21	0
HG01126	PharmCAT	0.6	0	21	0
HG01130	PharmCAT	0.3	0	21	0
HG01131	PharmCAT	0.3	0	21	0
HG01133	PharmCAT	0.4	0	21	0
HG01134	PharmCAT	0.3	0	21	0
HG01135	PharmCAT	0.3	0	21	0
HG01136	PharmCAT	0.3	0	21	0
HG01137	PharmCAT	0.3	0	21	0
HG01138	PharmCAT	0.3	0	21	0
HG01139	PharmCAT	0.2	0	21	0
HG01140	PharmCAT	0.2	0	21	0
HG01141	PharmCAT	0.3	0	21	0
HG01142	PharmCAT	0.3	0	21	0
HG01148	PharmCAT	0.3	0	21	0
HG01149	PharmCAT	0.3	0	21	0
HG01150	PharmCAT	0.3	0	21	0
HG01161	PharmCAT	0.3	0	21	0
HG01162	PharmCAT	0.3	0	21	0
HG01164	PharmCAT	0.3	0	21	0
HG01167	PharmCAT	0.3	0	21	0
HG01168	PharmCAT	0.3	0	21	0
HG01169	PharmCAT	0.3	0	21	0
HG01170	PharmCAT	0.3	0	21	0
HG01171	PharmCAT	0.3	0	21	0
HG01172	PharmCAT	0.3	0	21	0
HG01173	PharmCAT	0.3	0	21	0
HG01174	PharmCAT	0.3	0	21	0
HG01175	PharmCAT	0.3	0	21	0
HG01176	PharmCAT	0.2	0	21	0
HG01177	PharmCAT	0.3	0	21	0
HG01178	PharmCAT	0.3	0	21	0
HG01182	PharmCAT	0.3	0	21	0
HG01183	PharmCAT	0.3	0	21	0
HG01184	PharmCAT	0.3	0	21	0
HG01187	PharmCAT	0.4	0	21	0
HG01188	PharmCAT	0.3	0	21	0
HG01189	PharmCAT	0.3	0	21	0
HG01190	PharmCAT	0.3	0	21	0
HG01191	PharmCAT	0.3	0	21	0
HG01192	PharmCAT	0.3	0	21	0
HG01197	PharmCAT	0.3	0	21	0
HG01198	PharmCAT	0.3	0	21	0
HG01199	PharmCAT	0.3	0	21	0
HG01200	PharmCAT	0.3	0	21	0
HG01204	PharmCAT	0.3	0	21	0
HG01205	PharmCAT	0.3	0	21	0
HG01206	PharmCAT	0.3	0	21	0
HG01241	PharmCAT	0.3	0	21	0
HG01242	PharmCAT	0.3	0	21	0
HG01243	PharmCAT	0.3	0	21	0
HG01247	PharmCAT	0.3	0	21	0
HG01248	PharmCAT	0.3	0	21	0
HG01249	PharmCAT	0.3	0	21	0
HG01250	PharmCAT	0.3	0	21	0
HG01251	PharmCAT	0.3	0	21	0
HG01252	PharmCAT	0.3	0	21	0
HG01253	PharmCAT	0.3	0	21	0
HG01254	PharmCAT	0.3	0	21	0
HG01255	PharmCAT	0.3	0	21	0
HG01256	PharmCAT	0.3	0	21	0
HG01257	PharmCAT	0.4	0	21	0
HG01258	PharmCAT	0.3	0	21	0
HG01259	PharmCAT	0.3	0	21	0
HG01260	PharmCAT	0.6	0	21	0
HG01261	PharmCAT	0.3	0	21	0
HG01269	PharmCAT	0.3	0	21	0
HG01271	PharmCAT	0.3	0	21	0
HG01272	PharmCAT	0.3	0	21	0
HG01273	PharmCAT	0.3	0	21	0
HG01274	PharmCAT	0.3	0	21	0
HG01275	PharmCAT	0.3	0	21	0
HG01276	PharmCAT	0.2	0	21	0
HG01277	PharmCAT	0.3	0	21	0
HG01278	PharmCAT	0.3	0	21	0
HG01279	PharmCAT	0.3	0	21	0
HG01280	PharmCAT	0.3	0	21	0
HG01281	PharmCAT	0.3	0	21	0
HG01284	PharmCAT	0.3	0	21	0
HG01286	PharmCAT	0.2	0	21	0
HG01302	PharmCAT	0.3	0	21	0
HG01303	PharmCAT	0.3	0	21	0
HG01305	PharmCAT	0.3	0	21	0
HG01308	PharmCAT	0.2	0	21	0
HG01311	PharmCAT	0.3	0	21	0
HG01312	PharmCAT	0.3	0	21	0
HG01323	PharmCAT	0.3	0	21	0
HG01325	PharmCAT	0.3	0	21	0
HG01326	PharmCAT	0.3	0	21	0
HG01334	PharmCAT	0.3	0	21	0
HG01341	PharmCAT	0.3	0	21	0
HG01342	PharmCAT	0.3	0	21	0
HG01343	PharmCAT	0.3	0	21	0
HG01344	PharmCAT	0.3	0	21	0
HG01345	PharmCAT	0.3	0	21	0
HG01346	PharmCAT	0.3	0	21	0
HG01347	PharmCAT	0.3	0	21	0
HG01348	PharmCAT	0.3	0	21	0
HG01349	PharmCAT	0.2	0	21	0
HG01350	PharmCAT	0.3	0	21	0
HG01351	PharmCAT	0.3	0	21	0
HG01352	PharmCAT	0.3	0	21	0
HG01353	PharmCAT	0.3	0	21	0
HG01354	PharmCAT	0.3	0	21	0
HG01355	PharmCAT	0.2	0	21	0
HG01356	PharmCAT	0.3	0	21	0
HG01357	PharmCAT	0.3	0	21	0
HG01358	PharmCAT	0.3	0	21	0
HG01359	PharmCAT	0.3	0	21	0
HG01360	PharmCAT	0.3	0	21	0
HG01361	PharmCAT	0.3	0	21	0
HG01362	PharmCAT	0.4	0	21	0
HG01363	PharmCAT	0.3	0	21	0
HG01365	PharmCAT	0.3	0	21	0
HG01366	PharmCAT	0.4	0	21	0
HG01367	PharmCAT	0.3	0	21	0
HG01369	PharmCAT	0.3	0	21	0
HG01372	PharmCAT	0.3	0	21	0
HG01374	PharmCAT	0.3	0	21	0
HG01375	PharmCAT	0.3	0	21	0
HG01376	PharmCAT	0.2	0	21	0
HG01377	PharmCAT	0.3	0	21	0
HG01378	PharmCAT	0.3	0	21	0
HG01379	PharmCAT	0.3	0	21	0
HG01383	PharmCAT	0.3	0	21	0
HG01384	PharmCAT	0.3	0	21	0
HG01385	PharmCAT	0.3	0	21	0
HG01389	PharmCAT	0.3	0	21	0
HG01390	PharmCAT	0.3	0	21	0
HG01391	PharmCAT	0.3	0	21	0
HG01392	PharmCAT	0.3	0	21	0
HG01393	PharmCAT	0.3	0	21	0
HG01395	PharmCAT	0.3	0	21	0
HG01396	PharmCAT	0.3	0	21	0
HG01398	PharmCAT	0.3	0	21	0
HG01402	PharmCAT	0.3	0	21	0
HG01403	PharmCAT	0.3	0	21	0
HG01405	PharmCAT	0.3	0	21	0
HG01412	PharmCAT	0.3	0	21	0
HG01413	PharmCAT	0.3	0	21	0
HG01414	PharmCAT	0.3	0	21	0
HG01431	PharmCAT	0.3	0	21	0
HG01432	PharmCAT	0.3	0	21	0
HG01433	PharmCAT	0.3	0	21	0
HG01435	PharmCAT	0.3	0	21	0
HG01437	PharmCAT	0.3	0	21	0
HG01438	PharmCAT	0.3	0	21	0
HG01439	PharmCAT	0.2	0	21	0
HG01440	PharmCAT	0.3	0	21	0
HG01441	PharmCAT	0.3	0	21	0
HG01443	PharmCAT	0.3	0	21	0
HG01444	PharmCAT	0.3	0	21	0
HG01447	PharmCAT	0.3	0	21	0
HG01455	PharmCAT	0.2	0	21	0
HG01456	PharmCAT	0.3	0	21	0
HG01457	PharmCAT	0.3	0	21	0
HG01459	PharmCAT	0.3	0	21	0
HG01461	PharmCAT	0.3	0	21	0
HG01462	PharmCAT	0.3	0	21	0
